Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters)
0.050000,0.0000002,1.000000,-2.000000
0.100000,0.0000002,1.000000,-2.000000
0.150000,0.0000002,1.000000,-2.000000
0.200000,0.0000002,1.000000,-2.000000
0.250000,0.0000002,1.000000,-2.000000
0.300000,0.0000002,1.000000,-2.000000
0.350000,0.0000002,1.000000,-2.000000
0.400000,0.0000002,1.000000,-2.000000
0.450000,0.0000002,1.000000,-2.000000
0.500000,0.0000002,1.000000,-2.000000
0.550000,0.0000002,1.000000,-2.000000
0.600000,0.0000002,1.000000,-2.000000
0.650000,0.0000002,1.000000,-2.000000
0.700000,0.0000002,1.000000,-2.000000
0.750000,0.0000002,1.000000,-2.000000
0.800000,0.0000002,1.000000,-2.000000
0.850000,0.0000002,1.000000,-2.000000
0.900000,0.0000002,1.000000,-2.000000
0.950000,0.0000002,1.000000,-2.000000
1.000000,0.0000002,1.000000,-2.000000
1.050000,0.0000002,1.000000,-2.000000
1.100000,0.0000002,1.000000,-2.000000
1.150000,0.0000002,1.000000,-2.000000
1.200000,0.0000002,1.000000,-2.000000
1.250000,0.0000002,1.000000,-2.000000
1.300000,0.0000002,1.000000,-2.000000
1.350000,0.0000002,1.000000,-2.000000
1.400000,0.0000002,1.000000,-2.000000
1.450000,0.0000002,1.000000,-2.000000
1.500000,0.0000002,1.000000,-2.000000
1.550000,0.0000002,1.000000,-2.000000
1.600000,0.0000002,1.000000,-2.000000
1.650000,0.0000002,1.000000,-2.000000
1.700000,0.0000002,1.000000,-2.000000
1.750000,0.0000002,1.000000,-2.000000
1.800000,0.0000002,1.000000,-2.000000
1.850000,0.0000002,1.000000,-2.000000
1.900000,0.0000002,1.000000,-2.000000
1.950000,0.0000002,1.000000,-2.000000
2.000000,0.0000002,1.000000,-2.000000
2.050000,0.0000002,1.000000,-2.000000
2.100000,0.0000002,1.000000,-2.000000
2.150000,0.0000002,1.000000,-2.000000
2.200000,0.0000002,1.000000,-2.000000
2.250000,0.0000002,1.000000,-2.000000
2.300000,0.0000002,1.000000,-2.000000
2.350000,0.0000002,1.000000,-2.000000
2.400000,0.0000002,1.000000,-2.000000
2.450000,0.0000002,1.000000,-2.000000
2.500000,0.0000002,1.000000,-2.000000
2.550000,0.0000002,1.000000,-2.000000
2.600000,0.0000002,1.000000,-2.000000
2.650000,0.0000002,1.000000,-2.000000
2.700000,0.0000002,1.000000,-2.000000
2.750000,0.0000002,1.000000,-2.000000
2.800000,0.0000002,1.000000,-2.000000
2.850000,0.0000002,1.000000,-2.000000
2.900000,0.0000002,1.000000,-2.000000
2.950000,0.0000002,1.000000,-2.000000
3.000000,0.0000002,1.000000,-2.000000
3.050000,0.0000002,1.000000,-2.000000
3.100000,0.0000002,1.000000,-2.000000
3.150000,0.0000002,1.000000,-2.000000
3.200000,0.0000002,1.000000,-2.000000
3.250000,0.0000002,1.000000,-2.000000
3.300000,0.0000002,1.000000,-2.000000
3.350000,0.0000002,1.000000,-2.000000
3.400000,0.0000002,1.000000,-2.000000
